TIPO,OPERACIÓN,DESPACHO,NOMBRE,CAPACIDAD NETA [MW],OPERADOR,INICIO OPERACION,MUNICIPIO,DEPARTAMENTO,SUBÁREA
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        BELMONTE,"3,4",EMPRESA DE ENERGIA DE PEREIRA S.A. E.S.P.,01/01/1939,PEREIRA,RISARALDA,SubArea CQR
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        CALDERAS,"19,9",ISAGEN S.A. E.S.P.,30/06/2006,SAN CARLOS,ANTIOQUIA,SubArea Antioquia
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        CARACOLI,"3,75",EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,01/01/1935,CARACOLÍ,ANTIOQUIA,SubArea Antioquia
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        CARUQUIA,"9,5",ISAGEN S.A. E.S.P.,28/01/2010,SANTA ROSA DE OSOS,ANTIOQUIA,SubArea Antioquia
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        CASCADA,3,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,01/01/1954,BUCARAMANGA,SANTANDER,SubArea Santander
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        CAUYA,"1,51",SANTA FE ENERGY ZOMAC S.A.S. E.S.P.,25/04/2022,ANSERMA,CALDAS,SubArea CQR
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        CHARQUITO,"19,4",ENEL COLOMBIA SA ESP,22/08/2003,SOACHA,CUNDINAMARCA,SubArea Bogota
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        COCONUCO,"4,5",EMPRESA MUNICIPAL DE ENERGIA ELECTRICA S.A. E.S.P.,27/09/2000,POPAYÁN,CAUCA,SubArea Cauca-Narino
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        COELLO,"1,2",ENERGETICA S.A. E.S.P.,10/12/2016,COELLO,TOLIMA,SubArea Huila-Tolima
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        CURRUCUCUES,"1,25",ENERCO S.A. E.S.P.,18/08/2010,ROVIRA,TOLIMA,SubArea Huila-Tolima
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        EL BOSQUE,"2,28",ENERGIA RENOVABLE DE COLOMBIA S.A.S E.S.P.,01/01/1935,ARMENIA,QUINDÍO,SubArea CQR
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        EL EDEN,"19,9",PROELECTRICA S.A.S E.S.P.,02/03/2017,PENSILVANIA,CALDAS,SubArea CQR
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        EL LIMONAR,18,ENEL COLOMBIA SA ESP,06/12/2003,SAN ANTONIO DEL TEQUENDAMA,CUNDINAMARCA,SubArea Bogota
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        EL MOLINO,"19,9",ISAGEN S.A. E.S.P.,19/04/2017,COCORNÁ,ANTIOQUIA,SubArea Antioquia
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        EL POPAL,"19,9",ISAGEN S.A. E.S.P.,31/03/2014,COCORNÁ,ANTIOQUIA,SubArea Antioquia
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        FLORIDA,"19,9",VATIA S.A. E.S.P.,01/01/1975,POPAYÁN,CAUCA,SubArea Cauca-Narino
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        GUANAQUITAS,"9,5",ISAGEN S.A. E.S.P.,30/06/2010,SANTA ROSA DE OSOS,ANTIOQUIA,SubArea Antioquia
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        GUAVIO MENOR,"9,9",ENEL COLOMBIA SA ESP,27/04/2016,UBALÁ,CUNDINAMARCA,SubArea Bogota
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        HIDROBARRANCAS,"4,7",HIDROELECTRICA BARRANCAS SAS ESP,26/11/2020,DABEIBA,ANTIOQUIA,SubArea Antioquia
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        HIDROMONTAÑITAS,"19,9",CELSIA COLOMBIA S.A. E.S.P.,14/06/2012,DONMATÍAS,ANTIOQUIA,SubArea Antioquia
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        INSULA,19,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,20/07/1995,CHINCHINÁ,CALDAS,SubArea CQR
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        IQUIRA I,"4,32",ELECTRIFICADORA DEL HUILA S.A. E.S.P.,01/01/1955,ÍQUIRA,HUILA,SubArea Huila-Tolima
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        IQUIRA II,"1,38",ELECTRIFICADORA DEL HUILA S.A. E.S.P.,01/01/1965,ÍQUIRA,HUILA,SubArea Huila-Tolima
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        JUAN GARCIA,"4,52",EMPRESA DE GENERACION Y PROMOCION DE ENERGIA DE ANTIOQUIA S.A. E.S.P.,12/09/2018,LIBORINA,ANTIOQUIA,SubArea Antioquia
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        LA CASCADA ( ABEJORRAL),3,EMPRESA DE GENERACION Y PROMOCION DE ENERGIA DE ANTIOQUIA S.A. E.S.P.,17/09/2007,ABEJORRAL,ANTIOQUIA,SubArea Antioquia
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        LA CASCADA (ANTIOQUIA),"2,3",VATIA S.A. E.S.P.,17/07/2007,SAN ROQUE,ANTIOQUIA,SubArea Antioquia
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        LA CASCADA DE GRANADA,"2,09",SANTA FE ENERGY ZOMAC S.A.S. E.S.P.,30/09/2023,GRANADA,ANTIOQUIA,SubArea Antioquia
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        LA CHORRERA,15,HIDROENERGIA DE LA MONTAÑA S.A.S E.S.P,31/05/2022,SAN ANDRÉS DE CUERQUÍA,ANTIOQUIA,SubArea Antioquia
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        LA HERRADURA,"19,8",EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,03/09/2004,CAÑASGORDAS,ANTIOQUIA,SubArea Antioquia
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        LA NAVETA,"4,8",IAC ENERGY S.A.S. E.S.P.,27/11/2014,APULO,CUNDINAMARCA,SubArea Bogota
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        LA PITA,"1,42",ELECTRIFICADORA DEL HUILA S.A. E.S.P.,01/01/1965,GARZÓN,HUILA,SubArea Huila-Tolima
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        LA VUELTA,"11,6",EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,22/11/2004,CAÑASGORDAS,ANTIOQUIA,SubArea Antioquia
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        LAGUNETA,18,ENEL COLOMBIA SA ESP,17/12/2014,SAN ANTONIO DEL TEQUENDAMA,CUNDINAMARCA,SubArea Bogota
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        LAS PALMAS,"2,8",VATIA S.A. E.S.P.,30/08/2017,SANTA ROSA DE OSOS,ANTIOQUIA,SubArea Antioquia
